"","experimental_mz","adduct_ion","full_name","short_name","theory_mz","molecular_mass"
"LPC 18:3(104).
PC(18:3(6Z,9Z,12Z)/0:0)",516.309752779599,"[M-H]-","
PC(18:3(6Z,9Z,12Z)/0:0)","LPC 18:3(104)",516.30956553,517.316842
"LPE 18:0.PE(0:0/18:0)",480.310454826968,"[M-H]-","PE(0:0/18:0)","LPE 18:0",480.30956553,481.316842
"LPE 22:6.
PE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",524.277578338376,"[M-H]-","
PE(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","LPE 22:6",524.27826553,525.285542
"LPE(P-18:1).PE(P-18:1)",462.299385720655,"[M-H]-","PE(P-18:1)","LPE(P-18:1)",462.29900053,463.306277
"PC 31:0 (a\b).PC(10:0/21:0)",718.539210760021,"[M-H]-","PC(10:0/21:0)","PC 31:0 (a\b)",718.53923053,719.546507
"PC 35:4.
PC(13:0/22:4(7Z,10Z,13Z,16Z))",766.540757723224,"[M-H]-","
PC(13:0/22:4(7Z,10Z,13Z,16Z))","PC 35:4",766.53923053,767.546507
"PE 34:1.
PE(12:0/22:1(11Z))",716.523140881661,"[M-H]-","
PE(12:0/22:1(11Z))","PE 34:1",716.52358053,717.530857
"PE 38:4.PE(16:0/22:4(7Z,10Z,13Z,16Z))",766.540757723224,"[M-H]-","PE(16:0/22:4(7Z,10Z,13Z,16Z))","PE 38:4",766.53923053,767.546507
"PE(O-36:5).PE(O-16:0/20:5(5Z,8Z,11Z,14Z,17Z))",722.514230788615,"[M-H]-","PE(O-16:0/20:5(5Z,8Z,11Z,14Z,17Z))","PE(O-36:5)",722.51301553,723.520292
"PE(O-40:6).
PE(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",776.561214048071,"[M-H]-","
PE(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(O-40:6)",776.55996553,777.567242
"PE(P-16:0/20:4).PE(P-16:0/20:4(5Z,8Z,11Z,14Z))",722.514230788615,"[M-H]-","PE(P-16:0/20:4(5Z,8Z,11Z,14Z))","PE(P-16:0/20:4)",722.51301553,723.520292
"PI 32:1.PI(12:0/20:1(11Z))",807.503471270302,"[M-H]-","PI(12:0/20:1(11Z))","PI 32:1",807.50290653,808.510183
"PS 36:1.PS(14:0/22:1(11Z))",788.543667988911,"[M-H]-","PS(14:0/22:1(11Z))","PS 36:1",788.54471053,789.551987
"SM 33:1.
SM(d18:1/15:0)",687.54538055019,"[M-H]-","
SM(d18:1/15:0)","SM 33:1",687.54464953,688.551926
"SM 35:1 (a\b).SM(d18:1/17:0)",715.576226836563,"[M-H]-","SM(d18:1/17:0)","SM 35:1 (a\b)",715.57594953,716.583226
